key	type	ch_name	description
上报key	数据类型(int、string、bool)	中文名	描述
online_time	int	在线时长	
name	string	界面名字	name
time	int	界面停留时间	time
player_area	string	当前区域	
suit_id	string	套装	
coat_id	string	上衣	
pants_id	string	裤子	
shoes_id	string	鞋子	
wing_id	string	翅膀	
belt_id	string	腰带	
hat_id	string	帽子	
hairstyle_id	string	发型	
face_id	string	面饰	
phiz_id	string	面部表情	
platform_friends_num	int	平台好友数	
game_friends_num	int	游戏好友数	
child_id	int	小孩id	
child_time	int	小孩使用时长	
job_id	int	职业id	
job_time	int	职业使用时长	
house_id	int	住宅id	
house_time	int	住宅使用时长	
action_id	int	玩家动作id	
item_id	int	物品id	
item_time	int	物品使用时长	
event_name	string	交互事件key	
event_time	int	交互时长	
area_name	string	区域名	
area_sojourn_time	int	区域逗留时间	
fps	int	每分钟平均帧数	
minute_jank	int	每分钟卡顿	
player_active	int	玩家活跃情况	
friend_respond_result	int	好友申请处理结果 1同意，2拒绝，3忽略	
chat_type	int	聊天类型 1 公 2私	
friend_add_way	int	申请方式 1.名片，2附近的人	
car_id	int	载具id	
car_time	int	载具使用时长	
land_id	int	地块id	
game_btn_name	string	游戏按钮名	
appearance_count	int	本局外观改变次数	
house_count	int	本局住宅更换次数	
car_count	int	本局使用载具次数	
job_count	int	本局职业使用次数	
item_count	int	本局道具使用次数	
action_count	int	本局动作使用次数	
child_count	int	本局领养次数	
chat_count	int	本局聊天次数	
appearance_id	string	装扮id	
is_first	int	是否首次触发 1是 0否	
entrance	int	录像-设置界面内进入录像模式按钮	
filter	int	录像-特效按钮	
hideUI	int	录像-隐藏UI	
hideSetting	int	录像-展开隐藏设置	
pull	int	录像-收起菜单	
push	int	录像-展开菜单	
exit	int	录像-退出录像模式	
stayVideoTime	int	录像-在录像模式中停留的事件（秒）	
videoSelectId	string	录像-滤镜/天气/特效的序号	
videoRecordTime	int	录像-开始录制到结束录制经过的时间(秒)	
game_time	int	游戏时长	
match_id	string	刷新类型	
guide_ui_time	int	引导界面停留时长	
guide_ui_name	string	引导界面名	
double_interact_id	int	请求双人交互动作ID	
child_event_type	int	交互类型（1抱起，2喂食，3乘骑）	
peakday_get_id	int	奖励ID	
voice_id	int	语音ID	
player_sex	int	玩家性别	
chat_type	int	聊天类型1公聊，2私聊	
voice_item	int	购买档位1,50 2,250 3,500 4月卡	
house_event_id	int	房屋灾难事件ID	
pass_item	int	商品id	
client_memory	int	客户端内存	
world_chat_type	int	世界聊天内容(1文字，2表情)	
world_chat_lang	string	世界聊天频道ID	
script_cover_id	string	封面ID	
drama_play_time	int	剧本游玩时长	
stay_drama_main_time	int	剧本列表界面停留时间	
stay_drama_create_time	int	剧本创建界面停留时间	
script_join_time	string	剧本加入用时	
news_ui_time	int	新闻公告打开时长	
stay_speed_main_time	int	（弃）换挡ui打开时长	
car_gear	int	车辆挡位	
script_uid	string	剧本id	
script_label	int	剧本所在页签1热门 2点赞 3最新 4好友	
script_join_type	int	剧本加入类型 1剧本列表 2跟随	
script_maxplayer	int	剧本总人数	
script_character_number	int	剧本角色数	
script_mould	int	进入模板 0自定义 	
ghost_id	int	幽灵id	
halloween_exchange_id	int	万圣节奖励id 	
a_fps	int	平均帧率	
far_clip_level	int	视距	
face_photo_id	int	拍脸图id 	
face_award_id	int	拍脸图奖品id 	
shop_goodsId	int	商店商品ID	
shop_goods_type	int	商店商品类型ID	
buy_type	int	购买途径（buy_type）1商城；2主界面	
limit_activityId	int	限时活动活动ID	
limit_mus_award_id	int	钓鱼活动奖品ID	
draw_count	int	钓鱼成功当前是第几抽	
d3_gift_id	int	三日活动_奖励ID	
d3_task_id	int	三日活动_任务ID	
g2052_pay_coin_id	int	货币Id	
g2052_pay_coin_num	int	玩家当前货币数量	
g2052_pay_price	int	购买商品价格	
g2052_pay_unique_id	string	商品唯一ID	
g2052_pay_goods_num	int	购买商品数量	
g2052_pay_reason	int	货币变化的原因	
ad_id	string	广告入口的唯一id	
is_Ad_free	int	此次驾驶/骑乘的载具是否属于广告免费体验	
g2052_ad_code	int	广告拉取结果	
heatmap_pos_int_x	int	例图x坐标	
heatmap_pos_int_y	int	例图y坐标	
